SKU,ASIN,Department
PillowCaseMandGreen,IGNORE,IGNORE
PillowCaseMandSilver,IGNORE,IGNORE
PillowCasePBlue,IGNORE,IGNORE
PillowCasePOrange,IGNORE,IGNORE
PillowCasePPink,IGNORE,IGNORE
PillowCasePPurble,IGNORE,IGNORE
Pouf60BlackMandSilver97,B07SKT5XHK,IGNORE
PoufStaffedPirate,B0711Z2WQC,IGNORE
Roundie5Gold,B071747X9X,IGNORE
Roundie5Silver,B06Y27TDT1,IGNORE
RoundieFOL,B071FFVV6K,IGNORE
RoundieGeom,B072J84BYL,IGNORE
RoundieZebra,B06Y2CW4BH,IGNORE
TapestryMBlue,IGNORE,IGNORE
TapestryMGold,IGNORE,IGNORE
TapestryMSilver,IGNORE,IGNORE
TapestryPBLue,IGNORE,IGNORE
WM2,IGNORE,IGNORE
WM2_new,IGNORE,IGNORE
Roundie5Gold,B071747X9X,IGNORE
WM1,IGNORE,IGNORE
WM2,IGNORE,IGNORE
WM3,IGNORE,IGNORE
WM4,IGNORE,IGNORE
PoufRectGray101,IGNORE,IGNORE
PoufRoundGray101A,IGNORE,IGNORE
PoufPBlue40_100,IGNORE,IGNORE
PoufRectGray101,IGNORE,IGNORE
Pareo4BlackSilver,IGNORE,IGNORE
Pareo4BlackGold,IGNORE,IGNORE
PillowBeiz35,IGNORE,IGNORE
PoufTribalWB60,IGNORE,IGNORE
PoufManBeiz91,IGNORE,IGNORE
CoverPoufPeacockBlue9795,IGNORE,IGNORE
RoundiePeacockOrange,IGNORE,IGNORE
Pouf40BlackMandGold96,IGNORE,IGNORE
STSkullGrey#32_XX,IGNORE,IGNORE
PoufPBeige92,IGNORE,IGNORE
STSkullBlackDoddled#31_X,IGNORE,IGNORE
RoundieShipibo,IGNORE,IGNORE
Silver,IGNORE,IGNORE
ParepPPink,IGNORE,IGNORE
Pouf60BlackMandGold95,IGNORE,IGNORE
PoufRoundYellow94,IGNORE,IGNORE
RoundieSkull,IGNORE,IGNORE
RoundieBluePeacock,IGNORE,IGNORE
PillowPRed57A,IGNORE,IGNORE
PoufRectYellow94A,IGNORE,IGNORE
PoufRectRed102,IGNORE,IGNORE
RoundiePurplePeacock,IGNORE,IGNORE
PoufRectOrange105,IGNORE,IGNORE
PoufRectPurple103,IGNORE,IGNORE
PoufRectBlue93,IGNORE,IGNORE
PoufRoundBlue93A,IGNORE,IGNORE
PoufTribalBW59,IGNORE,IGNORE
PoufRoundPurple10AA,IGNORE,IGNORE
PoufRoundOrange105A,IGNORE,IGNORE
PoufRoundRed102A,IGNORE,IGNORE
RoundieMan5Blue,B06Y26LR6J,IGNORE
PoufPBlue56,IGNORE,IGNORE
PoufRoundGreen104A,IGNORE,IGNORE
RoundiePinkPeacock,IGNORE,IGNORE
1L-9FL9-0PUU,IGNORE,IGNORE
D3-AZL2-CX7A,IGNORE,IGNORE
FBA15CVSDCLS_unexpected_item_01,IGNORE,IGNORE
PillowMandGold55A,IGNORE,IGNORE
STMandalaGrey#36_X,IGNORE,IGNORE
PoufTriGold65,IGNORE,IGNORE
CoverPoufManBeiz91 ,IGNORE,IGNORE
CoverPouf60BlackMandGold95,IGNORE,IGNORE
CoverPoufPBlue40_100 ,IGNORE,IGNORE
bCoverPoufRectDariRug115,IGNORE,IGNORE
Round5Gold,B071747X9X,IGNORE
bCoverPoufRectDariRug115,IGNORE,IGNORE
Round5Gold,B071747X9X,IGNORE
Pareo5Turq,B07B939QZK,IGNORE
HangerNaturalKeys5,IGNORE,IGNORE
HangerNaturalLarge3,IGNORE,IGNORE
CoverPoufPRed57,B07N2Y675D,IGNORE
CoverRegnali31A,B08NYF92QL,IGNORE
CoverPillowMandGold55A,B07N2YZC5Z,IGNORE
CoverPillowPRed57A,B07N2W7WFK,IGNORE
CoverPoufEmb116,B08FH9819Y,IGNORE
bCoverPillowPRed57A,B07N2W7WFK,IGNORE
bCoverPoufMandGold55,B07N2Z9VJ1,IGNORE
bCoverPoufPRed57,B07N2Y675D,IGNORE
CoverPoufMandGold55-stickerless,B07N2Z9VJ1,IGNORE
CoverPillowManGold55A,B07N2YZC5Z,IGNORE
BCoverPillowMandGold55A,B07N2YZC5Z,IGNORE
BCoverPillowMandGold55A,B07N2YZC5Z,IGNORE
CoverCubeGray101B,B08NYH7J9C,IGNORE
CoverCubeYellow94B,B08NYFY9KL,IGNORE
CoverOutdoorRectTurq113,B08FH9H991,IGNORE
CoverPillowSquareBlue93C,B08NYDQ3W3,IGNORE
CoverPillowSquareGray101C,B08NYGBWYD,IGNORE
CoverPillowSquareGreen104C,B08NYJ7M25,IGNORE
CoverPillowSquareOrange105C,B08NYG24GM,IGNORE
CoverPillowSquarePurple103C,B08NYFXW23,IGNORE
CoverPillowSquareRed102C,B08NYDJWWH,IGNORE
CoverPillowSquareYellow94C,B08NYFJ38V,IGNORE
CoverCubeBlue93B,B08NYGZTV7,IGNORE
CoverPillowRoundBlue93D,B0933FZ98N,IGNORE
CoverPillowRoundGray101D,B0933FVNSC,IGNORE
CoverPillowRoundGreen04D,B0933DW4SP,IGNORE
CoverPillowRoundOrange105D,B0933H49C1,IGNORE
CoverPillowRoundPurple103D,B0933GQ3KJ,IGNORE
CoverPillowRoundRed102D,B0933DFDP6,IGNORE
CoverPillowRoundYellow94D,B0933HJFF9,IGNORE
BCoverPillowSquareBlue93C,B08NYDQ3W3,IGNORE
BCoverPillowSquareOrange105C,B08NYG24GM,IGNORE
BCoverPillowSquarePurple103C,B08NYFXW23,IGNORE
CoverPillowRoundGreen104D,B0933DW4SP,IGNORE
CoverPillowRoundGreen104D,B0933DW4SP,IGNORE
CoverPillowSquarePurple103B,B08NYFXW23,IGNORE
CoverPillowRoundGreen104D,B0933DW4SP,IGNORE
CoverPillowSquarePurple103B,B08NYFXW23,IGNORE
CoverPoufRectPatchW212,B08NYHGWBP,IGNORE
CoverPillowLim4060_233,B0933FJWYN,IGNORE
CoverPillowLim4060_234,B0933FHWLJ,IGNORE
CoverPillowPatch4060_235,B0933GHNJ3,IGNORE
CoverPillowPatch4060_236,B0933CY488,IGNORE
CoverPoufRoundPatch215,B07N2ZGX4F,IGNORE
CoverPoufRoundPatch216,B07SJQTMV1,IGNORE
CoverPoufRectPatchW212_N ,B08NYHGWBP,IGNORE
MAC_R_BEIGE,B08LZ2JX5Q,MAC
MAC_R_BLACK,B08LYXKQBY,MAC
MAC_R_GRAY,B08LZCQFM8,MAC
750440983509,B07Z85VZLV,MAC
MAC_DM,B08LZCN3Z2,MAC
MAC_M_BEIGE,B08LYXPP85,MAC
MAC_M_BLACK,B08LZ12XMW,MAC
MAC_M_GRAY,B08M11LKNS,MAC
bMAC_DM,B08LZCN3Z2,MAC
bMAC_M_BEIGE,B08LYXPP85,MAC
bMAC_M_BLACK,B08LZ12XMW,MAC
bMAC_M_GRAY,B08M11LKNS,MAC
bMAC_R_BEIGE,B08LZ2JX5Q,MAC
bMAC_R_BLACK,B08LYXKQBY,MAC
bMAC_R_GRAY,B08LZCQFM8,MAC
bMAC_SHELF,B07Z85VZLV,MAC
RM_BEIGE,B08LZ2JX5Q,MAC
RM_BLACK,B08LYXKQBY,MAC
RM_GRAY,B08LZCQFM8,MAC
BMAC_DM_3,B07N2X32XD,MAC
CoverPillowPBeige92A,B08FH5HX1Z,P_BOHO
CoverPillowPlue56A,B07N2ZTSXZ,P_BOHO
CoverPoufGeom107,B08FH8C4LP,P_BOHO
CoverPoufGoldBlue108,B08FH8NYT6,P_BOHO
CoverPoufMandGold55,B07N2Z9VJ1,P_BOHO
CoverPoufPBlue56,B07N315FXJ,P_BOHO
CoverPoufPPink106,B08FH6ZWV2,P_BOHO
CoverPoufRengali,B083NHS71H,P_BOHO
CoverpillowBeiz34,B07N2Z95VF,P_BOHO
CoverPoufFLower109,B08FH89S8G,P_BOHO
CoverPoufPBeige92,B07N2YYGXL,P_BOHO
213,B07SNR99TW,P_BOHO
BCoverPoufPBeige92_N,B07N2YYGXL,P_BOHO
BCoverPoufPPink106,B08FH6ZWV2,P_BOHO
BCoverPoufRengali,B083NHS71H,P_BOHO
bCoverPoufFLower109,B08FH89S8G,P_BOHO
bCoverPoufMan213,B07SNR99TW,P_BOHO
bCoverPoufPBlue56,B07N315FXJ,P_BOHO
bCoverPoufPBeige92,B07N2YYGXL,P_BOHO
BCoverPillowPBlue56A,B07N2ZTSXZ,P_BOHO
CoverPoufPBeige92_FBM,B07N2YYGXL,P_BOHO
CoverPoufMan213,B07SNR99TW,P_BOHO
CoverPoufMan213,B07SNR99TW,P_BOHO
CoverPoufPBlue60_99,B07SNR99TW,P_BOHO
CoverPoufMan213,B07SNR99TW,P_BOHO
CoverPoufPBlue60_99,B07SNR99TW,P_BOHO
CoverOutdoorRectVintage114,B08FMTFT1Y,P_RUG
CoverPoufRectOrange105,B083NR8TPM,P_RUG
CoverPoufRectRed102,B07SLQXWMS,P_RUG
CoverPoufRoundBlue93A,B083NRT1T6,P_RUG
CoverPoufRoundGray101A,B083NT48DV,P_RUG
CoverPoufRoundPurple10AA,B083NMKC1L,P_RUG
CoverPoufRoundRed102A,B083N1PCGJ,P_RUG
CoverPoufRoundYellow94,B07SLQY5F8,P_RUG
CoverPoufRectBlue93,B07SMQ1SYH,P_RUG
CoverPoufRectGray101,B083NR5LPC,P_RUG
CoverPoufRectGreen104,B083NTQL69,P_RUG
CoverPoufRectPurple103,B07SHL3RQW,P_RUG
CoverPoufRectRugTurq110,B08FBBXLMH,P_RUG
CoverPoufRectYellow94A,B083NR1Y46,P_RUG
CoverPoufRoundGreen104A,B083NCPYK1,P_RUG
CoverPoufRoundOrange105A,B083NPJJ1B,P_RUG
BCoverPoufRectBlue93,B07SMQ1SYH,P_RUG
BCoverPoufRectGreen104,B083NTQL69,P_RUG
BCoverPoufRectYellow94A,B083NR1Y46,P_RUG
BCoverPoufRoundBlue93A,B083NRT1T6,P_RUG
BCoverPoufRoundYellow94,B07SLQY5F8,P_RUG
bCoverOutdoorRectTurq113,B08FH9H991,P_RUG
bCoverOutdoorRectVintage114,B08FMTFT1Y,P_RUG
bCoverPoufRectGray101,B083NR5LPC,P_RUG
bCoverPoufRectOrange105,B083NR8TPM,P_RUG
bCoverPoufRectPurple103,B07SHL3RQW,P_RUG
bCoverPoufRectRugTurq110,B08FBBXLMH,P_RUG
bCoverPoufRoundGreen104A,B083NCPYK1,P_RUG
bCoverPoufRoundPurple10AA,B083NMKC1L,P_RUG
bCoverPoufRoundOrange105A,B083NPJJ1B,P_RUG
BCoverPoufRoundYellow94_FBM,B07SLQY5F8,P_RUG
BCoverPoufRectRed102 ,B07SLQXWMS,P_RUG
CoverPoufRectPatch111,B08FH9ZH5Y,P_RUG
BCoverPoufRectPatch111,B08FH9ZH5Y,P_RUG
BCoverCubeTribalBW59A,B08427XRF6,P_TR
CoverCubeGray74,B08427LS8R,P_TR
CoverPoufBW59_N,B07N2ZH2TM,P_TR
CoverPoufTriGold65,B07N2Z791B,P_TR
CoverPoufWB60_N,B07N2ZDB6P,P_TR
CoverPoufWB60_New,B07N2ZDB6P,P_TR
CiverBWTriangle64,B084282H99,P_TR
CoverCubeTribalBW59A,B08427XRF6,P_TR
CoverCubeTribalWB60A,B08427L5TB,P_TR
CoverPoufGray66,B07N317LS4,P_TR
BCoverCubeTribalWB60A,B08427L5TB,P_TR
bCoverCubeGray74,B08427LS8R,P_TR
bCoverPoufBW59,B07N2ZH2TM,P_TR
CoverPoufWB60,B07N2ZDB6P,P_TR
CoverPoufBW59,B07N2ZH2TM,P_TR
CoverPoufWB60xxx_N,B07N2ZDB6P,P_TR
bCoverPoufWB60,B07N2ZDB6P,P_TR
bCoverPoufWB60,B07N2ZDB6P,P_TR
BCoverPoufTriGold65 ,B07N2Z791B,P_TR
CoverPouf302,B0B7SFBTXZ,P_TR
CoverPouf303,B0B7SCD818,P_TR
CoverPouf301,B0B7SDYC38,P_TR
Pareo20RayonGeom,B08GC3B7C1,PAREO
Pareo20RayonMan,B07B939QZK,PAREO
PareoHBlue,B07Q4FM2CL,PAREO
PareoHPur,B07Q5JDW16,PAREO
PareoPOrange,B07B921LZY,PAREO
PareoPPur,B072BB24WX,PAREO
PareoPPur2,B07Q4FKR8C,PAREO
SkullPareo,B06Y22LRTP,PAREO
Pareo4BlackNew,B07CBMX9BS,PAREO
PareoBlueP19,B07QMQKS5J,PAREO
PareoHRed,B07Q5JHJRJ,PAREO
PareoPPurple,B072BB24WX,PAREO
SkullPareo_X,B06Y22LRTP,PAREO
ParepPBlue,IGNORE,PAREO
Pareo5Orange501 ,B0B59WLBDR,PAREO
Pareo4Blue503 ,B0B59W26WN,PAREO
Pareo5Blue502 ,B0B59W8L1P,PAREO
KaftanPurple_101 ,B09ZPRF5NW,PAREO
KaftanBlue_102 ,B09ZPQT14V,PAREO
KaftanPurple79,B09WXB87BW,PAREO
KaftaNWhite85,B09WWXM45G,PAREO
KaftanPurple_79,B09WXB87BW,PAREO
KaftanBlue102,B09ZPQT14V,PAREO
Pareo5Blue ,B0B59W8L1P,PAREO
Pareo5Orange,B0B59WLBDR,PAREO
Pareo4Blue,B0B59W26WN,PAREO
KaftanPurple101,B09ZPRF5NW,PAREO
KaftaNWhite_85,B09WWXM45G,PAREO
BPareoBlueP19,B07QMQKS5J,PAREO
BPareoHRed,B07Q5JHJRJ,PAREO
BPareoPPur2,B07Q4FKR8C,PAREO
PAREO_ZEN_1,B0BRXS89QQ,PAREO
PAREO_ZEN_1_SET,B0BRXRGQXZ,PAREO
PAREO_ZEN_2,B0BRXQHRYW,PAREO
PAREO_ZEN_2_SET,B0BRXS6CH6,PAREO
PAREO_ZEN_3,B0BRXRYGJ2,PAREO
PAREO_ZEN_4,B0BRXRH4YQ,PAREO
PAREO_ZEN_4K,B0BRXR3LLY,PAREO
PAREO_ZEN_5,B0BRXQGTKJ,PAREO
PAREO_ZEN_5K,B0BRXRYXYJ,PAREO
PAREO_ZEN_6,B0BRXS2S27,PAREO
CANCELED ,B0BRXQJB4Q,PAREO
PAREO_ZEN_8,B0BRXP4NHV,PAREO
PAREO_ZEN_8_SET,B0BRXR36FZ,PAREO
PAREO_ZEN_8K,B0BRXQ21SG,PAREO
PAREO_ZEN_9,B0BRXRV5ZX,PAREO
PAREO_ZEN_9_SET,B0BRXSDQCQ,PAREO
PAREO_ZEN_9K,B0BRXRXPML,PAREO
PAREO_ZEN_10,B0BRXRVLRH,PAREO
PAREO_ZEN_11A,B0BRXS54BW,PAREO
PAREO_ZEN_11B,B0BRXSXZ91,PAREO
,,PAREO
PAREO_ACA_1A,B0BRWQ3LHN,PAREO
PAREO_ACA_1B,B0BRWR4TWK,PAREO
PAREO_ACA_2,B0BRWQHDYC,PAREO
PAREO_ACA_3,B0BRWQS6GZ,PAREO
PAREO_ACA_5BLue,B0BRWQNCNN,PAREO
PAREO_ACA_5Gold,B0BRWPP3T9,PAREO
PAREO_ACA_5Red,B0BRWPS8JK,PAREO
PAREO_ACA_5Green,B0BRWQJQ4D,PAREO
PAREO_ACA_5Blue_SET,B0BRWQCPF2,PAREO
PAREO_ACA_5Gold_SET,B0BRWQPQWH,PAREO
PAREO_ACA_5Red_SET,B0BRWRHSTL,PAREO
PAREO_ACA_5Green_SET,B0BRWR6B8M,PAREO
PAREO_ACA_6A,B0BRWQZZT1,PAREO
PAREO_ACA_6B,B0BRWQWMR9,PAREO
PAREO_ACA_5Set_Short_A,B0BRWQSXHP,PAREO
PAREO_ACA_5Set_Short_B,B0BRWMGMWR,PAREO
PAREO_ZEN_11_SET,B0BRXS54BW,PAREO
PAREO_ZEN_7_SHORT,B0BRXSXZ91,PAREO
bCoverPoufRoundDariRug112,IGNORE,RUG
BlackRug35_227,B09339QXWJ,RUG
BlackRug46_228,B0933BYJ7Z,RUG
Block235_223,B0933FLK2G,RUG
Block246_224,B0933CDM6D,RUG
CoverPoufRectDariRug115,B08FH9S787,RUG
CoverPoufRoundDariRug112,B08FH9YZSF,RUG
DariRug112A,B08FH9XXRL,RUG
DariRug112B,B0933CTJJH,RUG
JuteRug35_225,B093399VYY,RUG
JuteRug46_226,B09339GC8M,RUG
JuteRugRound4_229,B0933BSLY7,RUG
JuteRugRound5_230,B0933BXDSZ,RUG
Moroccan35_219,B09339XXTW,RUG
Moroccan35_220,B0933CD2HC,RUG
TribalRug35_237,B0933CQ5XR,RUG
TribalRug46_238,B093393X47,RUG
WavesRug35_217,B09339TJ39,RUG
WavesRug46_218,B0933D2PPG,RUG
Block135_231,B09339GXSF,RUG
Block146_232,B09339WKGQ,RUG
PinkRug35_221,B0933D45JM,RUG
PinkRug46_222,B0933CLWMK,RUG
DariRug112A_N,B08FH9XXRL,RUG
Moroccan46_220,B0933CD2HC,RUG
Moroccan46_220,B0933CD2HC,RUG
WavesRug46_218_N,B0933D2PPG,RUG
PinkRug35_221_N ,B0933D45JM,RUG
Moroccan46_220,B0933CD2HC,RUG
WavesRug46_218_N,B0933D2PPG,RUG
PinkRug35_221_N ,B0933D45JM,RUG
BlackRug46_228_N,B0933BYJ7Z,RUG
